,Year,GBP per BTC
0,2010-07-10,0.037749592121710515
1,2010-07-20,0.04307676036832412
2,2010-07-30,0.03992849404761904
3,2010-08-09,0.04204859446398239
4,2010-08-19,0.04166799290420679
5,2010-08-29,0.03893218548617504
6,2010-09-08,0.03596151354838709
7,2010-09-18,0.03942048929663608
8,2010-09-28,0.041973471455181204
9,2010-10-08,0.06715690720951627
10,2010-10-18,0.12198095361157771
11,2010-10-28,0.23969119587811427
12,2010-11-07,0.149538595810706
13,2010-11-17,0.18542125400051468
14,2010-11-27,0.13335057536162723
15,2010-12-07,0.15945404016102768
16,2010-12-17,0.1708687623954225
17,2010-12-27,0.1930890945473251
18,2011-01-06,0.24694806538381958
19,2011-01-16,0.26373983050847455
20,2011-01-26,0.5170031913777245
21,2011-02-05,0.6859322113914255
22,2011-02-15,0.6329420669331952
23,2011-02-25,0.5473155737704918
24,2011-03-07,0.5280690904044408
25,2011-03-17,0.543005959624569
26,2011-03-27,0.46416150566413533
27,2011-04-06,0.6504979114894283
28,2011-04-16,1.0438806505582698
29,2011-04-26,2.2019751455499414
30,2011-05-06,4.609656761014152
31,2011-05-16,5.300865545891937
32,2011-05-26,11.999336562369912
33,2011-06-05,12.810876854325581
34,2011-06-15,10.356506624000003
35,2011-06-25,8.587319762892335
36,2011-07-05,8.78368639031043
37,2011-07-15,8.730045543881028
38,2011-07-25,5.749991850040749
39,2011-08-04,6.361161172792363
40,2011-08-14,6.786550097469176
41,2011-08-24,5.4377628
42,2011-09-03,3.834426507311932
43,2011-09-13,3.4371170533975244
44,2011-09-23,3.202061741142858
45,2011-10-03,2.63204648041618
46,2011-10-13,2.000192934088059
47,2011-10-23,1.991522403354005
48,2011-11-02,1.9836239575435939
49,2011-11-12,1.4546562531914895
50,2011-11-22,1.9735465718618765
51,2011-12-02,2.091763459339576
52,2011-12-12,2.4653327444000004
53,2011-12-22,3.1532861308141387
54,2012-01-01,4.244268292682927
55,2012-01-11,4.449416894964841
56,2012-01-21,3.6970217277910447
57,2012-01-31,3.8725626903696297
58,2012-02-10,2.7925671534408956
59,2012-02-20,3.2740848000000002
60,2012-03-01,3.125029730154502
61,2012-03-11,3.297917639368755
62,2012-03-21,3.295724581268657
63,2012-03-31,3.152942437119305
64,2012-04-10,3.3243682352941173
65,2012-04-20,3.381639278956279
66,2012-04-30,3.294663381379041
67,2012-05-10,3.5794266129663974
68,2012-05-20,3.698240141158052
69,2012-05-30,3.932702573642529
70,2012-06-09,4.557724221895973
71,2012-06-19,4.727720029448546
72,2012-06-29,4.812467583056555
73,2012-07-09,6.39743636859294
74,2012-07-19,5.999827633711506
75,2012-07-29,7.185296965657832
76,2012-08-08,8.520729338356487
77,2012-08-18,7.142718133851708
78,2012-08-28,7.276595713791911
79,2012-09-07,7.766379784615384
80,2012-09-17,7.976829471578595
81,2012-09-27,8.114595716377924
82,2012-10-07,7.496875510204081
83,2012-10-17,6.699408866995074
84,2012-10-27,7.019995073998641
85,2012-11-06,7.75264416893677
86,2012-11-16,8.268480689245393
87,2012-11-26,9.463512607875291
88,2012-12-06,8.201246805404908
89,2012-12-16,3.8292235438120117
90,2012-12-26,2.591134983085061
91,2013-01-05,2.769901687755827
92,2013-01-15,3.3199511222735176
93,2013-01-25,3.985908173373456
94,2013-02-04,4.911173205240828
95,2013-02-14,5.854116496177785
96,2013-02-24,8.054324056594957
97,2013-03-06,9.219254340878082
98,2013-03-16,14.478138609049958
99,2013-03-26,26.52033530830047
100,2013-04-05,17.898279629179672
101,2013-04-15,29.467039231444968
102,2013-04-25,22.12385305496888
103,2013-05-05,21.037501541969608
104,2013-05-15,25.270932844887202
105,2013-05-25,24.188510270452124
106,2013-06-04,20.037586677382578
107,2013-06-14,19.725236061529262
108,2013-06-24,15.128377941423844
109,2013-07-04,18.00632543969497
110,2013-07-14,17.06534465357083
111,2013-07-24,18.827473599611235
112,2013-08-03,18.733179074070613
113,2013-08-13,21.55219249387885
114,2013-08-23,25.669720109152756
115,2013-09-02,25.046983346728222
116,2013-09-12,24.241550941068727
117,2013-09-22,25.054841223856606
118,2013-10-02,25.02930312318935
119,2013-10-12,35.37026942414444
120,2013-10-22,39.7824674317328
121,2013-11-01,63.845251668130764
122,2013-11-11,117.84851223295891
123,2013-11-21,219.98127020914717
124,2013-12-01,192.51798964544042
125,2013-12-11,119.63617927966656
126,2013-12-21,144.6831626263948
127,2013-12-31,162.37124404239015
128,2014-01-10,165.31009008840624
129,2014-01-20,156.0142214455264
130,2014-01-30,133.68603462322298
131,2014-02-09,123.30973683718669
132,2014-02-19,442.2382798997247
133,2014-03-01,418.12200309492255
134,2014-03-11,371.3047985430438
135,2014-03-21,299.1966797530469
136,2014-03-31,286.5551581188872
137,2014-04-10,324.02052267595053
138,2014-04-20,285.00505651796675
139,2014-04-30,291.04941307901674
140,2014-05-10,288.2712443718853
141,2014-05-20,369.53883689721044
142,2014-05-30,422.1839652397166
143,2014-06-09,392.92974625990087
144,2014-06-19,375.7897740879129
145,2014-06-29,405.6927657818649
146,2014-07-09,411.78434538576334
147,2014-07-19,384.66113614317896
148,2014-07-29,382.56031894482163
149,2014-08-08,324.1266409322219
150,2014-08-18,334.28640188786284
151,2014-08-28,315.00016699824084
152,2014-09-07,304.99651951219437
153,2014-09-17,264.72252202607064
154,2014-09-27,215.457862912148
155,2014-10-07,253.42553180323577
156,2014-10-17,237.22673355028147
157,2014-10-27,228.13506800855694
158,2014-11-06,260.84649005730193
159,2014-11-16,266.42624605310556
160,2014-11-26,265.0553489195384
161,2014-12-06,241.66023913650884
162,2014-12-16,223.91156132033692
163,2014-12-26,191.41301780297417
164,2015-01-05,121.86608665086474
165,2015-01-15,172.96611635282142
166,2015-01-25,160.1318905620048
167,2015-02-04,167.43810743480233
168,2015-02-14,172.96022619139077
169,2015-02-24,188.9924534513071
170,2015-03-06,201.98506155420975
171,2015-03-16,170.1895557490387
172,2015-03-26,173.4778280461707
173,2015-04-05,150.24297305550618
174,2015-04-15,163.11236882849204
175,2015-04-25,180.50163467925944
176,2015-05-05,187.29585163500917
177,2015-05-15,183.5449179980753
178,2015-05-25,172.2694151141088
179,2015-06-04,180.1538000431879
180,2015-06-14,189.11934551410286
181,2015-06-24,195.80559118581246
182,2015-07-04,222.01333623754653
183,2015-07-14,210.49897377894314
184,2015-07-24,219.88511548133073
185,2015-08-03,211.97742921137612
186,2015-08-13,191.44504089803067
187,2015-08-23,189.02725137009008
188,2015-09-02,194.26080632392626
189,2015-09-12,183.0768626544209
190,2015-09-22,193.66286890341047
191,2015-10-02,198.22902521188732
192,2015-10-12,217.18140331306194
193,2015-10-22,259.2125788012739
194,2015-11-01,273.55297016948236
195,2015-11-11,265.380244666854
196,2015-11-21,302.66776478110086
197,2015-12-01,332.3448480542667
198,2015-12-11,357.5615688653392
199,2015-12-21,343.96328199060457
200,2015-12-31,366.3054670429203
201,2016-01-10,311.10507156816556
202,2016-01-20,304.1798936399635
203,2016-01-30,298.02331002891697
204,2016-02-09,341.229613702917
205,2016-02-19,339.3407072878641
206,2016-02-29,323.81134848861524
207,2016-03-10,320.6232092628805
208,2016-03-20,320.54728007010976
209,2016-03-30,325.47430192073205
210,2016-04-09,337.3696735976933
211,2016-04-19,356.2087993897747
212,2016-04-29,357.25649438079904
213,2016-05-09,352.94528617833083
214,2016-05-19,407.086971657348
215,2016-05-29,445.07062807376053
216,2016-06-08,580.8324567653033
217,2016-06-18,516.6264995543029
218,2016-06-28,499.3654930490594
219,2016-07-08,519.6445892935698
220,2016-07-18,498.50702991669914
221,2016-07-28,447.3057802723735
222,2016-08-07,438.3618632050039
223,2016-08-17,443.54794629267303
224,2016-08-27,463.643006843682
225,2016-09-06,463.0091961989929
226,2016-09-16,457.7637170685709
227,2016-09-26,467.91857711801987
228,2016-10-06,489.07890285624404
229,2016-10-16,497.12472527459556
230,2016-10-26,536.3280525204578
231,2016-11-05,528.5452534971125
232,2016-11-15,537.9875838026945
233,2016-11-25,534.5323487684569
234,2016-12-05,564.6502990265391
235,2016-12-15,643.8119155516334
236,2016-12-25,748.5147804925214
237,2017-01-04,607.6936140264012
238,2017-01-14,658.9775478979728
239,2017-01-24,723.149496479907
240,2017-02-03,716.6285827193258
241,2017-02-13,797.7484106213096
242,2017-02-23,922.0178093086586
243,2017-03-05,923.7772801186666
244,2017-03-15,695.4130165268614
245,2017-03-25,866.8712127297981
246,2017-04-04,879.2215251210635
247,2017-04-14,944.7288462071474
248,2017-04-24,1167.5399513177088
249,2017-05-04,1349.4910733781298
250,2017-05-14,1733.0789211031708
251,2017-05-24,1913.6358409362929
252,2017-06-03,2054.7880866100268
253,2017-06-13,2136.223955118926
254,2017-06-23,1963.4872018153203
255,2017-07-03,1853.4734739694768
256,2017-07-13,2206.485077217188
257,2017-07-23,2083.3146292286547
258,2017-08-02,2820.3184034684245
259,2017-08-12,3093.5138265648925
260,2017-08-22,3746.2338661985264
261,2017-09-01,3316.8873614625472
262,2017-09-11,3035.370820350518
263,2017-09-21,3718.391139624468
264,2017-10-01,3765.8243421018124
265,2017-10-11,4783.400287840926
266,2017-10-21,4964.143307606571
267,2017-10-31,5721.906633885058
268,2017-11-10,6346.640731088261
269,2017-11-20,7532.959485473443
270,2017-11-30,11699.029923217722
271,2017-12-10,13810.515305805407
272,2017-12-20,11037.126165576927
273,2017-12-30,11420.702607730584
274,2018-01-09,8520.512069165901
275,2018-01-19,8802.783139006468
276,2018-01-29,5717.76682706249
277,2018-02-08,8539.527723983834
